post,time,image,num of likes,num of comments,comments
"Attention. Please share with your loved ones.

Magpapatuloy po bukas, August 3, ang malawakang pagbabakuna kontra COVID-19 sa Lungsod ng Maynila.

MAHALAGANG PAALALA po para sa lahat:

Idaraos po ang pagbabakunaHigit pa hanggang 7pm. Hinihikayat namin ang lahat na magtungo sa ating vaccination sites sa iba pang mga oras upang makaiwas sa siksikan. Nais po naming matiyak ang kaligtasan ninyo.

Isasagawa po ang SECOND DOSE na pagbabakuna ng SINOVAC sa mga kabilang sa A1, A2, A3, A4, at A5 priority groups na una nang nabakunahan noong July 5, 2021 lamang. Idaraos ito sa apat na mall sites at 18 school sites.

Para po sa lahat ng magpapabakuna, ipakita lamang po ang inyong printed waiver form o QR code para sa verification.

Dalhin din po ang inyong ID at huwag kalimutan ang pagsunod sa minimum health protocols pagdating sa vaccination site. Maraming salamat po.

Manila, God first! ☝️ —Mayor Isko Moreno Domagoso",2021-08-02 17:26:11,https://scontent.fcrk4-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/230308108_1171120993372588_6225300690621756907_n.jpg?_nc_cat=109&ccb=1-4&_nc_sid=110474&_nc_ohc=yRfngugT14QAX-NwR6W&_nc_ht=scontent.fcrk4-1.fna&oh=a8743381fc97778808e38dbc1389b282&oe=6132233A,2509,1095,[]
"Magandang gabi, Maynila!

Narito ang aerial shot mula sa Dagupan Outpost ng Moriones Tondo Police Station ngayong gabi sa Divisoria.

Paalala lamang po, nasa Enhance Community Quarantine (ECQ) po tayong muli.Higit pa Sundin po natin ang curfew hours. Maraming salamat po sa ating kapulisan sa inyong pagpapatupad ng ating mga alituntunin, lalo na kay PS 2 na pinamumunuan ni Lt. Col. Magno Gallora Jr., at Dagupan Outpost na pinamumunuan ni PSMS Gerry Tubera.

Manila, God first! —Mayor Isko Moreno Domagoso",2021-08-06 22:01:32,https://scontent.fcrk4-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/232956472_1174110606406960_2859557716903440297_n.jpg?_nc_cat=109&ccb=1-4&_nc_sid=110474&_nc_ohc=APbanCMGBv8AX96bAd8&_nc_oc=AQluTeXDqzKixKv5b7wYXDkJ88NIniWg7PiedPbHcZmkLJlIU0RF-1r4bpJqUO9mf5Y&_nc_ht=scontent.fcrk4-1.fna&oh=e2192daf0f5c375eed5566f8db8e52a7&oe=61345A38,239,7,[]
"MAHALAGANG ABISO MULA SA KAGAWARAN NG KALUSUGAN NG MAYNILA: Wala po tayong isasagawang pagbabakuna kontra COVID-19 bukas, araw ng Sabado, Agosto 7.

Manatiling nakatutok sa ating social media pages para saHigit pa karagdagang impormasyon hinggil sa iskedyul ng bakunahan sa Lungsod ng Maynila.

Maraming salamat po.

#AlertoManileno #COVID19PH",2021-08-06 18:52:01,https://scontent.fmnl9-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/229293228_1173996123085075_2681393220962295633_n.jpg?_nc_cat=1&ccb=1-4&_nc_sid=110474&_nc_ohc=Iii8Qh90a0wAX-y3inR&_nc_ht=scontent.fmnl9-1.fna&oh=692ba49c37fb5a859d387548f554946c&oe=61345BB6,988,77,[]
Capital Report | Ayuda update for ECQ | Vaccination Update | New vaccine deployment update by DOH under ECQ | Itanong Mo Kay Yorme!,2021-08-06 17:48:27,,1111,4542,[]
"ABISO SA PUBLIKO: Narito ang bagong oras ng operasyon ng Lucky Chinatown Mall simula ngayong Biyernes, ika-6 ng Agosto.

Ito ay matapos isailalim ang Lungsod ng Maynila sa Enhanced Community Quarantine hanggangHigit pa sa ika-20 ng Agosto.

Pinapaalala ng pamunuan ng nasabing mall na sundin ang mga health protocol sa lahat ng oras.

#AlertoManileno #COVID19PH",2021-08-06 15:30:59,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/225749731_1173885896429431_6194704457941864961_n.jpg?_nc_cat=101&ccb=1-4&_nc_sid=8024bb&_nc_ohc=qf-SrzDITycAX-_qrzm&_nc_ht=scontent.fmnl9-2.fna&oh=674f548d55b9f1349bb03ed0c6ba90c3&oe=6131FDF7,214,19,[]
"BANTAY COVID-19: Narito ang datos ng COVID-19 sa Lungsod ng Maynila ngayong ika-6 ng Agosto

#AlertoManileno #COVID19PH",2021-08-06 14:00:00,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/232956477_1173821673102520_8692163679494574275_n.jpg?_nc_cat=103&ccb=1-4&_nc_sid=8024bb&_nc_ohc=Ix0Zlr4ENbsAX9l_62U&_nc_ht=scontent.fmnl9-2.fna&oh=4f121d469c531a501907557cdaade39a&oe=61329CF3,267,16,[]
"ABISO SA PUBLIKO: Narito ang bagong oras ng operasyon ng Robinsons Place Manila simula ngayong Biyernes, ika-6 ng Agosto.

Ito ay matapos isailalim ang Lungsod ng Maynila sa Enhanced Community QuarantineHigit pa hanggang sa ika-20 ng Agosto.

Maliban dito, magbibigay rin ang pamunuan ng nasabing oras ng libreng parking sa publiko sa mga nakasaad na petsa at oras.

Para sa listahan ng mga bukas na tindahan sa Robinsons Place Manila, maaaring pindutin ang link na ito: https://www.facebook.com/RobPlaceManila/posts/1421010631632665

#AlertoManileno #COVID19PH",2021-08-06 13:31:38,https://scontent.fmnl9-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/233746902_1173831629768191_7562781559527695891_n.jpg?_nc_cat=100&ccb=1-4&_nc_sid=8024bb&_nc_ohc=ZYqpdlyb9lQAX_5UVoo&_nc_ht=scontent.fmnl9-1.fna&oh=d2f4bcc0d0840dfbae5c6987302e60d1&oe=6133770F,262,8,[]
"Upang mas mapaigting ang bakunahan sa ating lungsod ay naghahanap po ang Kagawaran ng Kalusugan ng Maynila ng mga ""volunteers"" para sa ilulunsad nating 24/7 vaccination program sa pamamagitan ng Bayanihan sa Maynila.

Manila, God first! —Mayor Isko Moreno Domagoso",2021-08-06 12:00:40,,1038,113,[]
"ABISO SA PUBLIKO: Narito ang bagong oras ng operasyon ng SM Manila, SM San Lazaro, at Savemore Nagtahan simula ngayong Biyernes, ika-6 ng Agosto.

Ito ay matapos isailalim ang Lungsod ng Maynila sa EnhancedHigit pa Community Quarantine hanggang sa ika-20 ng Agosto.

Pinapaalala ng pamunuan ng mga nasabing mall na sundin ang mga health protocol sa lahat ng oras.

#AlertoManileno #COVID19PH",2021-08-06 11:01:05,https://scontent.fmnl9-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/233154270_1173763476441673_319993665222098565_n.jpg?_nc_cat=1&ccb=1-4&_nc_sid=110474&_nc_ohc=fWYUuMCOG1oAX_-ZLGs&_nc_ht=scontent.fmnl9-1.fna&oh=21c78b236cc9fabae206dd8b1b04bdbf&oe=61315EBD,921,36,[]
"TINGNAN: Naglinis ang mga kawani ng Pampublikong Pamilihan ng New Arranque, Sampaloc, Divisoria, Pampanga, Obrero, Central, Dagonoy at Pritil ngayong araw ng Biyernes, ika-6 ng Agosto bilang pagtugon saHigit pa direktiba ni Punong Lungsod Francisco 'Isko Moreno' Domagoso na mapanatiling malinis, maaliwalas at ligtas ang Maynila.

#AlertoManileno",2021-08-06 10:02:11,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/227014513_1173738069777547_6670655401702178783_n.jpg?_nc_cat=102&ccb=1-4&_nc_sid=110474&_nc_ohc=kpxLmP4cD0IAX9MQ37z&_nc_ht=scontent.fmnl9-2.fna&oh=361dbac653c78485055e57c2098e6614&oe=61313E1B,309,14,[]
